camera_id,year,month,accidents
DEI-006/CAM-02,2020,8,80
DEI-006/CAM-02,2020,9,79
DEI-006/CAM-02,2020,10,110
DEI-006/CAM-02,2020,11,110
DEI-006/CAM-02,2020,12,103
DEI-006/CAM-02,2021,1,70
DEI-006/CAM-02,2021,2,80
DEI-006/CAM-02,2021,3,122
DEI-006/CAM-02,2021,4,91
DEI-006/CAM-02,2021,5,82
DEI-006/CAM-02,2021,6,123
DEI-006/CAM-02,2021,7,98
DEI-006/CAM-02,2021,8,93
DEI-006/CAM-02,2021,9,111
DEI-006/CAM-02,2021,10,127
DEI-006/CAM-02,2021,11,123
DEI-006/CAM-02,2021,12,107
DEI-006/CAM-02,2022,1,130
DEI-006/CAM-02,2022,2,139
DEI-006/CAM-02,2022,3,146
DEI-006/CAM-02,2022,4,131
DEI-006/CAM-02,2022,5,135
DEI-006/CAM-02,2022,6,138
DEI-006/CAM-02,2022,7,137
DEI-006/CAM-02,2022,8,108
DEI-006/CAM-02,2022,9,136
DEI-006/CAM-02,2022,10,71
DEI-006/CAM-02,2022,11,61
DEI-006/CAM-02,2022,12,57
DEI-007/CAM-01,2019,1,78
DEI-007/CAM-01,2019,2,66
DEI-007/CAM-01,2019,3,81
DEI-007/CAM-01,2019,4,98
DEI-007/CAM-01,2019,5,100
DEI-007/CAM-01,2019,6,71
DEI-007/CAM-01,2019,7,70
DEI-007/CAM-01,2019,8,66
DEI-007/CAM-01,2019,9,85
DEI-007/CAM-01,2019,10,71
DEI-007/CAM-01,2019,11,71
DEI-007/CAM-01,2019,12,93
DEI-007/CAM-01,2020,1,61
DEI-007/CAM-01,2020,2,70
DEI-007/CAM-01,2020,3,55
DEI-007/CAM-01,2020,4,14
DEI-007/CAM-01,2020,5,26
DEI-007/CAM-01,2020,6,50
DEI-007/CAM-01,2020,7,53
DEI-007/CAM-01,2020,8,46
DEI-007/CAM-01,2020,9,56
DEI-007/CAM-01,2020,10,76
DEI-007/CAM-01,2020,11,69
DEI-007/CAM-01,2020,12,69
DEI-007/CAM-01,2021,1,46
DEI-007/CAM-01,2021,2,55
DEI-007/CAM-01,2021,3,76
DEI-007/CAM-01,2021,4,54
DEI-007/CAM-01,2021,5,53
DEI-007/CAM-01,2021,6,81
DEI-007/CAM-01,2021,7,58
DEI-007/CAM-01,2021,8,61
DEI-007/CAM-01,2021,9,84
DEI-007/CAM-01,2021,10,82
DEI-007/CAM-01,2021,11,80
DEI-007/CAM-01,2021,12,71
DEI-007/CAM-01,2022,1,73
DEI-007/CAM-01,2022,2,96
DEI-007/CAM-01,2022,3,87
DEI-007/CAM-01,2022,4,85
DEI-007/CAM-01,2022,5,87
DEI-007/CAM-01,2022,6,90
DEI-007/CAM-01,2022,7,93
DEI-007/CAM-01,2022,8,60
DEI-007/CAM-01,2022,9,95
DEI-007/CAM-01,2022,10,44
DEI-007/CAM-01,2022,11,35
DEI-007/CAM-01,2022,12,36
DEI-007/CAM-02,2019,1,142
DEI-007/CAM-02,2019,2,132
DEI-007/CAM-02,2019,3,145
DEI-007/CAM-02,2019,4,151
DEI-007/CAM-02,2019,5,165
DEI-007/CAM-02,2019,6,133
DEI-007/CAM-02,2019,7,133
DEI-007/CAM-02,2019,8,122
DEI-007/CAM-02,2019,9,147
DEI-007/CAM-02,2019,10,132
DEI-007/CAM-02,2019,11,116
DEI-007/CAM-02,2019,12,157
DEI-007/CAM-02,2020,1,107
DEI-007/CAM-02,2020,2,117
DEI-007/CAM-02,2020,3,80
DEI-007/CAM-02,2020,4,27
DEI-007/CAM-02,2020,5,42
DEI-007/CAM-02,2020,6,76
DEI-007/CAM-02,2020,7,90
DEI-007/CAM-02,2020,8,80
DEI-007/CAM-02,2020,9,79
DEI-007/CAM-02,2020,10,111
DEI-007/CAM-02,2020,11,110
DEI-007/CAM-02,2020,12,104
DEI-007/CAM-02,2021,1,71
DEI-007/CAM-02,2021,2,80
DEI-007/CAM-02,2021,3,122
DEI-007/CAM-02,2021,4,91
DEI-007/CAM-02,2021,5,82
DEI-007/CAM-02,2021,6,123
DEI-007/CAM-02,2021,7,100
DEI-007/CAM-02,2021,8,94
DEI-007/CAM-02,2021,9,113
DEI-007/CAM-02,2021,10,128
DEI-007/CAM-02,2021,11,123
DEI-007/CAM-02,2021,12,108
DEI-007/CAM-02,2022,1,131
DEI-007/CAM-02,2022,2,139
DEI-007/CAM-02,2022,3,148
DEI-007/CAM-02,2022,4,133
DEI-007/CAM-02,2022,5,136
DEI-007/CAM-02,2022,6,138
DEI-007/CAM-02,2022,7,138
DEI-007/CAM-02,2022,8,109
DEI-007/CAM-02,2022,9,139
DEI-007/CAM-02,2022,10,72
DEI-007/CAM-02,2022,11,61
DEI-007/CAM-02,2022,12,57
DEI-007/CAM-03,2019,1,142
DEI-007/CAM-03,2019,2,131
DEI-007/CAM-03,2019,3,145
DEI-007/CAM-03,2019,4,151
DEI-007/CAM-03,2019,5,165
DEI-007/CAM-03,2019,6,133
DEI-007/CAM-03,2019,7,133
DEI-007/CAM-03,2019,8,122
DEI-007/CAM-03,2019,9,144
DEI-007/CAM-03,2019,10,132
DEI-007/CAM-03,2019,11,116
